SMILES,Kow,Kowwin,Wildman-Crippen LogP,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,1.0,0.6,1.5504200000000004,1.71,1.51,1.38
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,3.36,3.72,4.269300000000004,3.78,3.92,3.54
CC1CC2(C)C(CCC3C4CCC(O)C4(C)CCC32)CC1=O,3.99,3.48,4.205100000000003,3.83,4.03,3.62
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,3.32,3.27,3.879200000000003,3.32,3.7,3.33
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,2.44,2.42,2.950700000000001,0.37,2.95,1.16
CC1=CC(=O)c2ccccc2C1=O,2.2,2.21,2.0119,2.21,1.7,2.2
CN(C)CC(CN1c2ccccc2Sc2ccccc21)N(C)C,4.76,3.69,3.781100000000002,3.68,2.9,4.18
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.88,4.79,4.580200000000004,4.78,3.22,4.7
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.2,3.82,3.942700000000003,3.8,2.63,4.16
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,4.56,4.241000000000003,4.55,3.26,4.08
Cn1c(=O)c2[nH]cnc2n(C)c1=O,-0.03,-0.39,-1.0397000000000003,0.22,-0.13,-0.31
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-1.05,-1.38,-1.9800000000000009,-2.95,-1.24,-2.02
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-2.1,-1.84,-1.8566000000000007,-3.37,-1.24,-1.54
CN(C)CCOC(c1ccccc1)c1ccccc1,3.27,3.11,3.3542000000000023,3.11,3.26,3.38
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,2.95,3.69,3.860000000000003,4.56,2.44,3.5
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.86,4.26,3.644400000000001,,,
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,4.45,4.09,4.005799999999999,4.09,3.62,4.22
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-0.07,-0.1,-0.3512999999999996,-1.12,0.53,0.39
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-0.24,-0.23,-0.0608999999999999,-1.61,0.45,0.08
O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-1.98,-1.86,-2.851899999999999,-1.86,-1.71,-2.45
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,-1.85,-1.28,0.2684000000000003,-1.99,0.38,0.38
CCOc1cc(N)ccc1C(=O)O,0.99,1.19,1.3657,1.53,1.24,1.02
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,-0.29,-0.8,-1.0602000000000005,-1.35,-0.51,-1.23
CCN(CC)C(=O)c1cccnc1,0.33,0.52,1.5636,1.21,1.02,0.79
O=c1ccc2ccccc2[nH]1,1.26,1.32,1.5280999999999998,1.32,1.59,1.25
Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,1.68,0.84,2.0128,1.69,1.43,2.09
CNCC(O)c1cccc(O)c1,-0.31,-0.21,0.645,-0.21,0.79,0.59
CCN(CC)CCOC(=O)c1ccc(N)cc1,2.14,1.99,1.7674,1.99,2.12,1.78
Cc1ccccc1OCC(O)CO,1.41,1.41,0.7270199999999998,1.01,1.1,1.25
O=C1Cc2ccccc2N1,1.16,1.04,1.1811999999999998,0.82,1.36,0.82
O=c1[nH]c2ccccc2o1,1.16,0.95,1.1211,1.2,1.41,1.34
Cc1cc(O)ccc1Cl,3.1,2.7,2.35402,2.7,2.46,2.71
CC(C)NCC(O)c1ccc(Cl)c(Cl)c1,3.32,2.46,3.0248000000000017,2.46,3.04,2.91
Cc1cc(C(=O)NNCc2ccccc2)no1,1.49,1.32,1.41762,1.65,1.45,1.51
CC(=O)Nc1nnc(S(N)(=O)=O)s1,-0.26,-0.72,-0.8561000000000003,-2.34,-1.58,-1.21
O=C(O)c1cccnc1,0.36,0.69,0.7797999999999999,0.69,0.12,0.28
