SMILES2,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction
CC(=O)c1ccccc1OC(=O)N(C)C,1.26,2.03,1.54
CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,3.24,1.65,2.7
NNC(=O)c1ccnc(I)c1,-0.78,0.67,0.3
Nc1nc(N)nc(-c2ccccc2[N+](=O)[O-])n1,0.35,1.66,1.01
Nc1nc(N)nc(-c2cccc([N+](=O)[O-])c2)n1,1.26,1.66,1.01
Nc1nc(N)nc(-c2ccc([N+](=O)[O-])cc2)n1,1.26,1.66,1.01
Nc1nc(N)nc(-c2ccccc2Cl)n1,1.18,2.23,1.78
NNC(=O)c1ccccc1Br,0.13,2.03,1.09
COCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,3.33,2.25,2.56
COCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,4.15,2.78,3.33
COCN1C(=O)CN=C(c2ccccc2Cl)c2cc(Cl)ccc21,4.8,3.28,3.99
CSCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,3.91,3.18,4.07
CCCc1ssc(=S)c1CC,4.89,2.65,4.3
CN(C)c1cccc2cccnc12,2.16,2.05,2.18
COc1cccc(N2CCN(CCN(C)C)C2=O)c1,1.6,1.34,1.3
CN(C)c1ccc(N(C)C)nn1,0.3,1.17,1.61
Cc1ccc(C)c(C)n1,2.45,1.53,1.73
CC(=O)Oc1ccccc1F,1.79,2.46,1.8
O=[N+]([O-])c1ccc(Br)c(Cl)c1,3.35,3.18,3.14
CC(=O)NC(Cc1ccccc1)C(=O)NCC(N)=O,-0.82,0.26,-0.35
CC1Cc2ccccc2CN1,2.17,2.55,1.82
Cc1ccc(OC(=O)CNC(=O)c2ccccc2)cc1,2.9,2.97,3.02
COc1ccc(OC(=O)CNC(=O)c2ccccc2)cc1,2.43,2.45,2.52
O=C(CNC(=O)c1ccccc1)Oc1ccc(F)cc1,2.55,3.12,2.74
CC(C)CCCCCCCOP(=O)(Oc1ccccc1)Oc1ccccc1,7.28,5.65,6.97
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,2.91,0.28,2.49
NNC(=O)c1ccnc(Br)c1,-1.06,0.51,0.17
CCCCC(Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)O,2.4,2.34,2.95
NS(=O)(=O)c1nc2ccc(O)cc2s1,0.07,-0.31,1.02
Nc1c(-c2ccccc2)no[n+]1[O-],0.22,1.42,0.55
CCSCc1ccccc1OC(=O)NC,2.3,2.92,2.49
COc1cc(CC(=O)O)ccc1OCc1ccccc1,3.3,2.64,3.02
Nc1ccc(OC(=O)CNC(=O)c2ccccc2)cc1,1.43,2.2,1.79
Nc1no[n+]([O-])c1-c1ccccc1,0.22,1.42,0.55
N=C(N)NN=Cc1ccc([N+](=O)[O-])cc1,-0.13,1.22,0.49
O=C(NO)Nc1ccc(Cl)cc1,1.23,1.88,1.05
CON(C)C(=O)Nc1cccc(O)c1,0.79,1.41,0.73
Nc1nc(N)nc(-c2cccc(Br)c2)n1,2.33,2.38,1.86
CC1NC(=Nc2ncc([N+](=O)[O-])s2)OC1(C)C,2.18,1.17,1.65
O=C1CC(=O)N(Cc2ccccc2)C1,0.53,0.96,0.83
CN(C)c1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,2.81,2.14,2.77
CN(C)c1ccc2c(c1)C(c1ccccc1Cl)=NCC(=O)N2C,4,2.87,3.64
CN1C(=O)CN=C(c2c(Cl)cccc2Cl)c2cc(Cl)ccc21,5.11,3.95,4.8
c1ccc(C23CC4CC(CC(C4)C2)C3)cc1,6.29,4.78,4.24
O=C1CN=C(c2ccc[nH]2)c2cc(Cl)ccc2N1,2.16,1.07,2.65
O=C1NC(=O)N(Cc2ccccc2)C1=O,2.61,0.61,0.71
CNC(=O)OCc1ccccc1,1.66,2.06,1.6
Cc1ccccc1-c1nc(N)nc(N)n1,1.08,1.96,1.6
Nc1nc(N)nc(-c2cccc(C(F)(F)F)c2)n1,2.41,2.66,2.06
Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,-0.9,-0.7,-2.22
C=Cn1c([N+](=O)[O-])cnc1C=Cc1ccc(C(=O)O)cc1,3.19,2.45,2.02
Nc1nc(N)nc(-c2cccc(F)c2)n1,1.64,2.08,1.32
Nc1nc(N)nc(-c2ccc(F)cc2)n1,1.64,2.08,1.32
Nc1nc(N)nc(-c2ccccc2Br)n1,1.43,2.38,1.86
NCCCc1ccncc1,0.86,0.65,0.56
COc1ccc(N(CCCC(=O)O)C(=O)c2ccc(Cl)cc2)cc1,4.51,3.43,3.49
COP(=O)(NC(C)=O)SC,-0.9,-0.35,-0.28
CSc1nc2c(N)ncnc2n1C1OC2COP(=O)(O)OC2C1O,-3.04,-0.19,-0.98
Cc1c(O)c(=O)ccn1C,-0.64,-0.52,-0.3
CCn1ccc(=O)c(O)c1C,-0.15,-0.18,0.04
CCCn1ccc(=O)c(O)c1C,0.35,0.13,0.57
Cc1c(O)c(=O)ccn1C(C)C,0.27,0.13,0.42
CCCCn1ccc(=O)c(O)c1C,0.84,0.44,1.02
CCCCCn1ccc(=O)c(O)c1C,1.33,0.73,1.48
CCCCCCn1ccc(=O)c(O)c1C,1.82,1.01,1.94
Cc1c(O)c(=O)ccn1CCO,-1.2,-0.99,-0.84
COC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,-0.16,1.12,2.41
CN(C)C(=O)c1cccs1,1.24,0.99,1.2
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,6.92,4.09,5.78
c1cc2ccc3cccc4sc(c1)c2c34,4.75,4.18,4.19
CC(=O)NC(C)C(=O)NC(C)C(N)=O,-1.88,-0.94,-1.53
CC(=O)NC1CC(=O)N(c2ccccc2)C1=O,-0.56,0.37,0.18
CCN1CCN(CC)C1=S,0.91,0.93,1.2
CCCN1CCCN(CCC)C1=S,2.39,1.88,2.31
O=Nc1c(Br)cc2ccccc2c1O,3.45,2.62,3.47
Cc1cc(Br)cnc1NS(=O)(=O)c1ccc(N)cc1,1.96,2.1,2.71
Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)c(Br)c1,1.96,2.1,2.71
C1=C(c2ccccc2)CCCC1,4.72,3.65,3.77
O=C1CCC(=O)N1c1cccc([N+](=O)[O-])c1,0.46,0.99,0.88
CN1CCN=C1Nc1ncc([N+](=O)[O-])s1,0.56,0.52,0.25
CCN1CCN=C1Nc1ncc([N+](=O)[O-])s1,1.05,0.86,0.6
CC1CN(C)C(=Nc2ncc([N+](=O)[O-])s2)N1,3.65,0.86,0.62
CN1CCN(C)C1=Nc1ncc([N+](=O)[O-])s1,3.44,0.86,0.45
CC1CNC(=Nc2ncc([N+](=O)[O-])s2)N1C,3.65,0.86,0.62
CCCCCC(CCC)C(=O)O,3.94,2.68,3.64
COC1CC(OC2CCC3(C)C2CCC2C3CCC3(C)C(C4=CC(=O)OC4)CCC23O)OC(C)C1O,2.76,3.05,3.31
CCCCCCCCCCCCCCCC(=O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O,5.93,3.12,4.58
N#Cc1cn[nH]c1,-0.39,-0.85,0.15
CC(=O)Nc1c(I)c(C(=O)NC2C(O)OC(CO)C(O)C2O)c(I)c(N(C)C(C)=O)c1I,-0.34,0.23,-0.94
OCCCNc1ccccc1,1.14,1.63,1.2
CC(=O)Nc1c(I)c(C(=O)N(C)CC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,-1.31,0.94,-0.59
,-,-,-
CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,3.17,1.26,1.53
CCCCCCC(Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)O,3.39,2.88,3.86
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(OC=O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,0.62,-0.36,2.08
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(OC(C)=O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1C,1.68,0.92,2.85
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(OC=O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1C,0.82,0.35,2.9
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(OC(C)=O)C1C,1.68,0.92,2.85
CC1=Nc2c(Cl)cccc2S(=O)(=O)N1,1.54,1.35,1.2
CC1=Nc2cc(C)ccc2S(=O)(=O)N1,1.44,1.08,1.02
CC1=Nc2ccc(C)cc2S(=O)(=O)N1,1.44,1.08,1.02
CC1=Nc2ccc(F)cc2S(=O)(=O)N1,1.09,1.19,0.74
CC1=Nc2cc([N+](=O)[O-])c(Cl)cc2S(=O)(=O)N1,1.35,1.32,1.09
CC1=Nc2c(C)cccc2S(=O)(=O)N1,1.44,1.08,1.02
Cc1ccc(S(=O)(=O)CC(=O)c2ccccc2)cc1,1.95,2.37,3.31
CN(C)c1ccncn1,0.97,0.62,0.75
CN(C)c1cncnc1,0.97,0.21,0.21
Cc1csc(Cl)c1NC1=NCCN1,2.55,1.89,1.63
COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,2.55,2.62,3.15
COc1cncnc1,0.02,-0.17,0.03
Cc1ncc([N+](=O)[O-])n1CCOC(N)=O,0.12,0.32,-0.13
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,6.98,6.23,6.67
CCCCn1c(=O)n(C)c(=O)c2[nH]cnc21,1.69,0.82,1.02
O=C1c2cc([N+](=O)[O-])ccc2-c2ccc([N+](=O)[O-])cc21,3.19,2.79,2.8
Fc1ncccn1,0.14,0.06,0.62
CC(=O)Nc1cc(Cl)cc(Cl)c1,2.39,2.78,2.28
FC(F)(F)c1cccc(C2CNCCO2)c1,1.82,2.25,2.03
Clc1cc(Cl)c2c(Cl)ccc(Cl)c2c1,5.75,5.57,5.4
Nc1ccn(C2OC(CCl)C(O)C2O)c(=O)n1,-0.23,-0.66,-1.19
N=c1ccn2c(n1)OC1C(O)C(CO)OC12,-0.81,-0.96,-1.26
Clc1c(Cl)c(Cl)c(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,10.49,6.35,10.03
O=c1cc2ccccc2n[nH]1,-0.03,1.17,0.72
O=C1NC(c2cccc3ccccc23)Nc2ccccc21,3.04,3.24,3.4
CC(C)(C)C1CCC(c2ccccc2)(N2CCCCC2)CC1,7.12,4.93,5.7
Nc1nnc(Cc2ccccc2)o1,1.06,1.85,0.99
CN(CC(C)(C)C)N=O,1.21,1.35,1.56
NNC(=O)c1ccccc1I,0.41,2.19,0.92
Cc1cccc(C)c1OCC(C)N,2.61,2.22,2.33
COc1cc(C)nc2ccccc12,2.61,2.05,2.28
CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,3.34,2.68,2.68
CNC(=NC#N)NC,-2.26,0.05,-0.34
COc1c([N+](=O)[O-])ncn1C,0.96,0.64,0.46
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,3.39,2.19,3.08
O=C1CC(Oc2ccc3ccccc3c2)N1,1.54,2.88,2.05
Cc1nc(N)nc(N)c1C12CC3CC(CC(C3)C1)C2,3.81,3.15,2.31
BrC1C2CC3C(C2)C13,2.39,3.06,1.88
CCCCNc1c(C)n(C)c(=O)n(-c2ccccc2)c1=O,2.58,1.82,2.05
CCN(CC)c1c(C)n(C)c(=O)n(-c2ccccc2)c1=O,1.55,1.82,1.96
Cc1c(N(C)C)c(=O)[nH]c(=O)n1-c1ccccc1,1.69,1.05,1.06
CCOC(=O)c1cnc2n(c1=O)C(C)CCC2,2.08,0.95,0.71
CCOC(=O)c1cnc2ccccn2c1=O,1.23,0.5,-0.07
CC1CCCc2nccc(=O)n21,1.99,0.95,0.55
NS(=O)(=O)NC(=O)Cc1ccccc1,-0.36,1.2,-0.05
CNc1cnccn1,0.43,-0.57,-0.08
Oc1c(Cl)cc(Cl)c(Cl)c1O,2.97,2.43,3.29
CCN(CC)c1c(C)n(-c2ccccc2)c(=O)n(C)c1=O,2.88,1.82,1.96
C=CCn1c(=O)c(N(C)C)c(C)n(-c2ccccc2)c1=O,2.74,1.74,1.88
Cc1c(N2CCCC2)c(=O)n(-c2ccccc2)c(=O)n1C,1.43,1.82,1.72
Cc1c(N2CCOCC2)c(=O)n(-c2ccccc2)c(=O)n1C,0.18,1.05,0.95
C=CCn1c(C)c(N(C)C)c(=O)n(-c2ccccc2)c1=O,1.41,1.74,1.88
COc1cc(CC(C)N)c(OC)cc1Br,2.81,2.34,2.35
CC(=O)OC1CCC(C(C)(C)C)CC1,4.42,2.86,3.05
C[n+]1cccc(Br)c1.[I-],-,-,-
CC1=CCC(C(C)(C)O)CC1O,2.2,1.48,1.31
O=NN(CCF)C(=O)NC1CCSCC1,1.76,1.32,0.86
CCNC(=O)NS(=O)(=O)c1ccccc1,0.88,1.38,0.87
CN(C)C(=O)NS(=O)(=O)c1ccccc1,0.6,1.38,0.73
CCOP(=S)(OCC)Oc1ccccc1,4.57,2.22,2.98
Cn1cc(C(=O)O)c2ccccc21,2.48,1.65,1.93
NC(=O)Nc1cccc2cccnc12,0.69,1.25,0.93
CNC(=O)C(CC(C)C)NC(C)=O,0.69,0.63,0.26
CCC(C)C(NC(C)=O)C(=O)NC,0.69,0.63,0.32
Nc1ncnc2c1nc(SCc1ccccc1)n2C1OC2COP(=O)(O)OC2C1O,-1.33,1.14,0.6
O=C(Cn1c(=O)sc2ccc(Cl)cc21)N1CCN(CCO)CC1,1.09,0.59,1.67
Brc1cc(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)cc1Br,11.17,6.78,9.38
COC(=O)c1nonc1C,1.7,-0.14,0.17
Cc1nonc1C(N)=O,0.61,-0.96,-0.68
CNC(=O)c1ccccc1C(=O)c1ccccc1,2.76,2.45,2.53
CC(=O)N(CCCl)c1ccc(CC(=O)O)cc1,1.83,2.17,1.46
Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,6.33,5.99,6.01
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,6.33,5.99,6.01
Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,6.33,5.99,6.01
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,6.98,6.23,6.67
CC(=O)OCOC(=O)c1ccccc1OC(C)=O,1.47,2.15,1.28
CC(=O)Oc1ccccc1C(=O)OCN1C(=O)CCC1=O,1.53,1.46,0.67
CC(=O)ONc1ccnc2ccccc12,0.66,1.95,1.68
ClCCOC(c1ccccc1)c1ccccc1,4.15,3.9,3.91
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1,6.33,5.99,6.01
O=[N+]([O-])c1ccc2c(c1)CCN2,1.65,1.68,1.65
Nc1ccc(S(=O)(=O)c2ccc(NO)cc2)cc1,0.73,1.68,1.47
COc1ccc(C=O)cc1C,2.34,1.54,2.06
CCOc1nccnc1C,1.51,0.16,0.68
CN(C)C(=O)c1cnccn1,-0.64,-0.74,-0.63
CN(C)C(=O)Nc1ccc(C(C)(C)C)cc1,3.29,3.07,2.55
CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C,2.75,2.46,2.36
Cc1cccc(Cl)c1Cl,3.83,3.79,3.64
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl,7.62,6.47,7.33
C=C(C)OCc1ccccc1,2.68,2.45,2.23
CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,1.76,2.97,3.25
Nc1ccn(C2OC3COC2C3O)c(=O)n1,-2.22,-0.96,-1.63
O=C(O)Cc1ccc(C(F)(F)F)cc1,2.39,2.8,2.41
CC(C)(C)c1ccc(CC(=O)O)cc1,3.34,2.96,2.87
CC(=O)Oc1ccccc1I,2.76,2.92,2.18
CC(C)(C#N)Nc1nc(Cl)nc(NC2CC2)n1,1.08,1.92,2.55
CC(O)CCC(=O)c1ccoc1,0.98,0.13,0.95
NC1=NCC(COc2ccccc2)O1,1.17,1.02,1.55
CC(=O)c1cnc2ccccc2c1,1.66,1.7,1.76
CC(C)(Cc1ccccc1)NC(=O)N(CCCl)N=O,3.54,3.01,3.02
O=NN(CCCl)C(=O)NC1C=CCCC1,2.75,1.68,2.08
O=NN(CCCl)C(=O)NC1CCSCC1,2.07,1.48,1.12
O=NN(CCCl)C(=O)NC1CCS(=O)(=O)CC1,0.04,0.16,0.11
O=NN(CCCl)C(=O)NC1CSCSC1,1.17,1.16,1.59
O=NN(CCCl)C(=O)NC1CS(=O)(=O)CS(=O)(=O)C1,-0.04,-1.4,-0.44
O=NN(CCF)C(=O)NC1CSCSC1,0.86,0.99,1.33
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1,6.33,5.99,6.01
Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,2.83,4.9,5.09
CNC=Nc1ccc(C)cc1C,1.22,2.65,2.24
CCc1ccccc1NC(C)=O,2.14,2.25,1.89
CC(=O)Nc1c(Br)cccc1Br,1.76,3.08,2.45
C1COCCOCCOCCOCCO1,-1.14,-0.81,-0.65
O=c1[nH]c(=O)n(-c2ccccc2)o1,3.07,1.7,1.37
CC12CC3CC(C1)CC(N)(C3)C2,3.57,2.79,1.7
CCOC(=O)c1cncn1C(C)c1ccccc1,3.06,2.37,2.38
CN(C=O)c1c(N)n(C)c(=O)[nH]c1=O,-2.96,-0.89,-1.94
CN(C=O)c1c(N)n(C)c(=O)n(C)c1=O,-2.74,-0.56,-1.74
Clc1ccc2[nH]c(Cc3ccc(Br)cc3)nc2c1,5.02,3.93,4.75
Clc1cccc(Cl)c1-c1ccccc1,5.05,4.95,4.68
CN(C)c1cccc(C(N)=O)c1,0.92,1.38,0.99
CCCCCc1ccc(N)cc1,3.59,3.1,3.39
CCCCCCc1ccc(N)cc1,4.08,3.39,3.85
O=[N+]([O-])c1cc(N(CCO)CCO)ccc1NCCO,-0.9,0.34,0.12
Clc1ccc(-c2ccccc2)c(Cl)c1,5.05,4.95,4.68
Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,6.33,5.99,6.01
Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,6.33,5.99,6.01
COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,3.96,2.53,3.2
O=C1NC(=O)C(Cc2ccccc2)S1,1.81,1.07,2.19
CN(C)N=Nc1ccccc1C(N)=O,1.5,1.32,1.22
CN(C)N=Nc1ccc(C(N)=O)cc1,1.5,1.32,1.22
Nc1cncc(Cl)n1,0.52,-0.31,0.19
Nc1cnc(Cl)cn1,0.52,-0.31,0.19
COc1cncc(Cl)n1,1.12,0.07,0.93
COc1cnc(Cl)cn1,1.12,0.07,0.93
COCCOc1ccccc1OCCOC,1.61,1.13,1.54
Cc1ccc2c(c1)[n+]([O-])cc[n+]2[O-],3.18,1.54,4.92
CCCC1(CC)C(=O)NC(=O)NC1=O,1.28,0.57,1.2
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,1.87,-0.14,0.91
O=c1nc(-c2ccccc2)c2cc(Br)ccc2[nH]1,4.2,3.39,3.86
Cn1c([N+](=O)[O-])cnc1C1=NOC2CCCCC12,2.77,1.5,1.44
COC(=O)c1cnc2n(c1=O)C(C)CCC2,1.59,0.67,0.36
CC1CCCc2ncc(C(N)=O)c(=O)n21,0.06,-0.03,-0.49
ClC1C(Cl)C(Cl)C(I)C(Cl)C1Cl,4.76,4.36,4.84
COP(=S)(OC)Oc1ccccc1,3.59,1.6,2.28
Cc1cc(C)c(S(=O)(=O)c2ccc(N)cc2)c(C)c1,3.33,2.99,3.64
CCCCCCCCCC(=O)N1CCCC1=O,3.3,3.37,3.48
O=C1CC(C(=O)O)Oc2ccc(Cl)cc21,1.47,1.22,1.85
CCC(C)Nc1c([N+](=O)[O-])cc(C(C)(C)C)cc1[N+](=O)[O-],4.57,3.63,4.12
Cc1nnc(C(C)(C)C)c(=O)n1N,0.86,0.66,0
CCCCNc1nnc(C(C)C)c(=O)n1N,0.38,1.32,0.9
CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,4.68,2.63,4.07
,2.61,1.81,1.32
CCNc1nc(NC(C)(C)C)nc(OC)n1,3.6,2.53,2.47
CC(=O)Nc1cc(Cl)c(Cl)c(Cl)c1,3.03,3.34,2.94
COc1cc(Cl)cc(Cl)c1,3.36,3.05,3.14
COc1ccc([N+](=O)[O-])cc1NC(C)=O,1,1.29,0.83
CC(=O)Nc1cccc2cccnc12,1.09,1.54,1.14
CC(=O)Nc1ccccc1C(N)=O,-0.16,0.89,-0.05
C=C1C(=O)OC2C=C(C)C(OC(C)=O)CC(O)C(C)=CC(OC(=O)C(C)=CC)C12,4.21,2.4,2.9
Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,5.63,3.05,4.45
NNP(=O)(Oc1ccccc1)Oc1ccccc1,0.55,3.25,1.95
Cn1c(=O)[nH]c2[nH]c(=O)n(C)c2c1=O,-1.39,-0.49,-1.35
CCOc1cncc(OCC)n1,1.99,0.36,1.27
Fc1cncc(F)n1,0.34,0.12,0.7
Fc1cncc(Cl)n1,0.79,0.32,0.99
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,7.62,6.47,7.33
CCNc1nc(O)nc(NCC)n1,0.57,1.57,1.63
CNC(=O)N(C)c1nnc(C(C)(C)C)s1,1.81,1.24,1.43
CC(=O)NCC(=O)NC(Cc1ccccc1)C(N)=O,-0.82,0.26,-0.35
CC(=O)NCC(=O)NC(CC(C)C)C(N)=O,-0.9,-0.32,-0.68
CC(=O)NCC(=O)NC(C(N)=O)C(C)C,-1.39,-0.62,-1.07
COC(=O)c1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,1.53,2.14,2.04
CN1C(C(=O)Nc2nccs2)=C(O)c2ccccc2S1(=O)=O,0.11,-0.04,0.6
CN1C(=O)CN=C(c2ccccc2F)c2cc(N)ccc21,2.46,2.28,2.27
COC(=O)CS(=O)(=O)c1ccccc1,0.1,0.94,1.28
CC(C)c1ccc(NC(=O)N(C)C)cc1,2.84,2.8,2.35
C=C1C(=O)OC2C=C(C)C3(O)C=CC(C)(CC(OC(=O)C(=CC)COC(C)=O)C12)O3,3.41,2.06,1.95
CCC(=O)C1(C)CCC2C3CCC4=CC(=O)CCC4=C3CCC21C,4.26,4.18,4.4
CC(=O)NCc1cccc(OCC(O)CNC(C)C)c1,0.44,1.18,0.76
COc1ccc(C(c2ccc(OC)cc2)C(C)[N+](=O)[O-])cc1,3.93,3.39,3.89
CN(C)C(O)=Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,1.58,3.26,3.69
CC1(O)CC23C(O)C1CCC2(O)C(C)(O)C1C2OC2C(C)(C)C1(O)C(O)C3O,-3.37,-0.53,-2.41
CC(C)(C)c1cc(OC2OC(CO)C(O)C(O)C2O)cc(C(C)(C)C)c1,3.32,1.3,2.46
Cc1ccccc1C=C[N+](=O)[O-],2.49,2.45,2.3
COC(=O)c1ccnnc1,-0.22,0.12,0.07
CC(C)N(C(=O)Cc1ccccc1)C(C)C,2.82,3.09,2.73
COC(=O)c1cncnc1,-0.22,0.12,-0.09
COC(=O)c1cccnn1,-0.22,0.12,0.5
COC(=O)c1ncccn1,-0.22,-0.28,0.01
CCOCN(C(=O)CCl)c1c(C)cccc1CC,3.19,3.18,3.53
CC1CC2OC(=O)C(C)C2C(O)C2(C)C(=O)C=CC12,1.31,1.8,1.29
Nc1ccc(S(=O)(=O)c2cccc(N)c2)cc1,0.77,1.66,1.44
COC(=O)CCC(NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)OC,-0.83,0.82,0.89
O=C(O)COc1ccc(S(=O)(=O)F)cc1,1.33,0.27,1.11
O=C(O)C1COc2ccccc2O1,1.22,0.44,1.31
O=C(O)C1Cc2cc(Cl)ccc2O1,2.33,1.82,2.25
CN(C)c1ccc(NS(=O)(=O)c2ccc(N)cc2)cc1,1.89,2.21,2.24
Nc1ccc(S(=O)(=O)Nc2cccnc2Cl)cc1,1.17,1.29,1.81
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1,-2.72,1.48,0.54
Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1,0.2,0.29,0.7
CCCCC1C(=O)NC(=O)N(C)C1=O,1.04,0.57,0.99
CCN(CC)C(=O)SCc1ccccc1Cl,3.39,3.09,3.73
CCCSP(=S)(OCC)Oc1ccc(Cl)cc1Cl,7,3.63,5.57
O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,4.77,3.99,4.36
COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,1.79,1.16,1.43
CCOC(=O)c1cnc2c(C)cccn2c1=O,1.78,0.78,0.37
COC(=O)n1c(-c2cscn2)nc2ccccc21,1.83,1.3,2.79
CNC(=O)ON=C(C)C(C)SC,-2.82,1.6,0.77
CC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,0.18,1.32,1.2
CC1(C)SC2C(NC(=O)C(c3ccccc3)S(=O)(=O)O)C(=O)N2C1C(=O)O,-1.68,0.64,0.34
CN(C)CCC[N+]1([O-])c2ccccc2Sc2ccccc21,3.55,-0.53,3.93
c1ccc(N2CCNCC2)nc1,0.52,0.54,0.8
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(OC)CC21C,4.23,3.39,4.1
CN1C(=O)C(O)CC1c1cccnc1,-1.04,-0.06,-0.51
O=C(O)CC[Se]Cc1ccc([N+](=O)[O-])cc1,2.59,2.23,2.05
CNC(=S)NCCSCc1nc[nH]c1C,0.52,0.54,0.93
N#Cc1cnc2ccccc2c1,1.53,1.41,1.9
CON(C)C(=O)Nc1ccc(C(C)C)cc1,3.07,2.8,2.19
Clc1ccc(Cl)c(-c2ccccc2)c1,5.05,4.95,4.68
Clc1cc(Cl)cc(-c2ccccc2)c1,5.05,4.95,4.68
Clc1ccc(-c2ccccc2Cl)cc1,5.05,4.95,4.68
CC(C)(C)NCC(O)COc1ccccc1C#N,1.42,1.31,1.72
CNC(=O)COc1cccc(OCC(O)CNC(C)C)c1,-0.03,0.68,0.89
CNC(=O)COc1ccccc1OCC(O)CNC(C)(C)C,0.43,0.93,1.09
CN1C(=O)CN=C(c2ccccc2F)c2cc(I)ccc21,4.54,3.57,3.59
Oc1ccc(C2(O)CCN(CCCSc3ccc(F)cc3)CC2)cc1,3.94,3.65,3.38
CNC(=O)COc1ccc(OCC(O)CNC(C)C)cc1,-0.03,0.68,0.89
CNC(=S)NCCCCc1cnc[nH]1,0.87,0.54,0.84
NCCCCc1ccccn1,1.35,0.97,1.03
