Prediction and Applicability Domain analysis for models:,,,,,,,,
LogP model (Meylan-Kowwin) (version 1.1.5),,,,,,,,
LogP model (MLogP) (version 1.0.1),,,,,,,,
LogP model (ALogP) (version 1.0.1),,,,,,,,
(calculation core version : 1.3.19),,,,,,,,
,,,,,,,,
No.,tId,SMILES,LogP model (Meylan-Kowwin)-assessment,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-assessment,LogP model (MLogP)-prediction,LogP model (ALogP)-assessment,LogP model (ALogP)-prediction
8290,Molecule 8290,O=C(NC2c3ccccc3(c1ccccc12))CN(CC)CC,3.64 (EXPERIMENTAL value),3.23,3.64 (EXPERIMENTAL value),3.22,3.64 (EXPERIMENTAL value),3.17
8291,Molecule 8291,O=C(NCc1ccccc1)CN(CC)CC,2.14 (EXPERIMENTAL value),1.6,2.14 (EXPERIMENTAL value),1.99,2.14 (EXPERIMENTAL value),1.87
8292,Molecule 8292,O=C(NCc1ccccc1)CN(CCC)CCC,3.11 (EXPERIMENTAL value),2.58,3.11 (EXPERIMENTAL value),2.51,3.11 (EXPERIMENTAL value),2.92
8293,Molecule 8293,O=C(NCc1ccccc1)CN2CCCCC2,2.27 (EXPERIMENTAL value),1.98,2.27 (EXPERIMENTAL value),1.86,2.27 (EXPERIMENTAL value),2.09
8294,Molecule 8294,O=C(NCc1ccccc1)CN2CCOCC2,0.67 (EXPERIMENTAL value),0.23,0.67 (EXPERIMENTAL value),0.79,0.67 (EXPERIMENTAL value),0.86
8295,Molecule 8295,O=C(NC2c3ccccc3(c1ccccc12))CN(CCC)CCC,4.61 (EXPERIMENTAL value),4.22,4.61 (EXPERIMENTAL value),3.67,4.61 (EXPERIMENTAL value),4.22
8296,Molecule 8296,Oc1cccc(c1)CCCCCCCCCCCCC,8.84 (EXPERIMENTAL value),7.95,8.84 (EXPERIMENTAL value),6.05,8.84 (EXPERIMENTAL value),7.52
8297,Molecule 8297,O=C1N(c3ccc(cc3(C(=NC1)c2ccc(OC)cc2))Cl)C,3.15 (EXPERIMENTAL value),3.9,3.15 (EXPERIMENTAL value),2.64,3.15 (EXPERIMENTAL value),3.46
8298,Molecule 8298,O=[N+]2[N-]C(=Nc1ccc(cc12)Cl)n3cncc3,-1.37 (LOW reliability),-1.37,1.94 (LOW reliability),1.94,2.17 (LOW reliability),2.17
8299,Molecule 8299,O=C(OCC)NCCOc2ccc(Oc1ccccc1)cc2,4.3 (EXPERIMENTAL value),4.24,4.3 (EXPERIMENTAL value),3.18,4.3 (EXPERIMENTAL value),3.56
8300,Molecule 8300,O=C(OC)C2=C(NC(=C(C(=O)OCC)C2(c1cccc(c1Cl)Cl))C)C,3.86 (EXPERIMENTAL value),4.46,3.86 (EXPERIMENTAL value),3.22,3.86 (EXPERIMENTAL value),3.55
8301,Molecule 8301,"C[C@]12Oc3c(C1=O)c1c(C(=O)C(NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@H](C)[C@H](C=CO2)OC)=C2NC4(CCN(CC(C)C)CC4)N=C21)c(O)c3C |c:17,t:19,39|",[Error],-,[Error],-,[Error],-
8302,Molecule 8302,O=C(Nc2ccc3c1ccc(cc1Cc3(c2))[N+](=O)[O-])C,3.08 (EXPERIMENTAL value),3.17,3.08 (EXPERIMENTAL value),3.22,3.08 (EXPERIMENTAL value),2.51
8303,Molecule 8303,O=NN(C(=O)N(c1ccccc1)C)C,1.58 (EXPERIMENTAL value),2.29,1.58 (EXPERIMENTAL value),1.86,1.58 (EXPERIMENTAL value),1.65
8304,Molecule 8304,O=C1N(C(=O)CC1)c2ccccc2(F),0.22 (EXPERIMENTAL value),0.84,0.22 (EXPERIMENTAL value),1.49,0.22 (EXPERIMENTAL value),1.2
8305,Molecule 8305,O=C2N(c1ccccc1I)C(=O)CC2,0.8 (EXPERIMENTAL value),1.81,0.8 (EXPERIMENTAL value),1.91,0.8 (EXPERIMENTAL value),1.57
8306,Molecule 8306,O=C2N(c1cccc(c1)I)C(=O)CC2,1.39 (EXPERIMENTAL value),1.81,1.39 (EXPERIMENTAL value),1.91,1.39 (EXPERIMENTAL value),1.57
8307,Molecule 8307,O=C2N(c1cccc(c1)CC)C(=O)CC2,1.04 (EXPERIMENTAL value),1.68,1.04 (EXPERIMENTAL value),1.64,1.04 (EXPERIMENTAL value),1.93
8308,Molecule 8308,O=C(OC)c1cccc(c1)N2C(=O)CCC2(=O),0.36 (EXPERIMENTAL value),0.87,0.36 (EXPERIMENTAL value),1.05,0.36 (EXPERIMENTAL value),0.85
8309,Molecule 8309,O=C2N(c1ccc(cc1)CC)C(=O)CC2,1.1 (EXPERIMENTAL value),1.68,1.1 (EXPERIMENTAL value),1.64,1.1 (EXPERIMENTAL value),1.93
8310,Molecule 8310,O=C(OC)C(c1ccccc1)C(C)C,3.33 (EXPERIMENTAL value),3.41,3.33 (EXPERIMENTAL value),2.96,3.33 (EXPERIMENTAL value),2.89
8311,Molecule 8311,O=C(Nc1ccc(cc1[N+](=O)[O-])Cl)c2cc(cc(c2(O))Br)Br,5.05 (EXPERIMENTAL value),5.54,5.05 (EXPERIMENTAL value),3.48,5.05 (EXPERIMENTAL value),4.4
8312,Molecule 8312,Oc1cc(c(OCCNC)cc1C)C(C)C,2.35 (EXPERIMENTAL value),3.08,2.35 (EXPERIMENTAL value),2.21,2.35 (EXPERIMENTAL value),2.83
8313,Molecule 8313,n1cc(c(c2c1nc(nc2(N))N)C)Cc3cc(OC)ccc3(OC),2.13 (EXPERIMENTAL value),1.91,2.13 (EXPERIMENTAL value),2.24,2.13 (EXPERIMENTAL value),2.43
8314,Molecule 8314,O=C(OC)Nc1cccc(F)c1,2.21 (EXPERIMENTAL value),1.95,2.21 (EXPERIMENTAL value),2.44,2.21 (EXPERIMENTAL value),1.8
8315,Molecule 8315,n1c(nc(nc1N)c2ccccc2CC)N,1.65 (EXPERIMENTAL value),1.57,1.65 (EXPERIMENTAL value),2.25,1.65 (EXPERIMENTAL value),2.06
8316,Molecule 8316,n1c(nc(nc1N)c2ccccc2(OC))N,0.58 (EXPERIMENTAL value),0.62,0.58 (EXPERIMENTAL value),1.46,0.58 (EXPERIMENTAL value),1.1
8317,Molecule 8317,n1c(nc(nc1N)c2ccccc2(OCC))N,1.03 (EXPERIMENTAL value),1.11,1.03 (EXPERIMENTAL value),1.75,1.03 (EXPERIMENTAL value),1.45
8318,Molecule 8318,O=C2C(NCC(C)C)=C(N(C(=O)N2(c1ccccc1))C)C,1.48 (EXPERIMENTAL value),2.5,1.48 (EXPERIMENTAL value),1.82,1.48 (EXPERIMENTAL value),1.92
8319,Molecule 8319,n1c(nc(nc1N)c2ccccc2I)N,1.41 (EXPERIMENTAL value),1.7,1.41 (EXPERIMENTAL value),2.52,1.41 (EXPERIMENTAL value),1.69
8320,Molecule 8320,OC(COc1ccc(c2c1CCC2)C)C(NC(C)C)C,3.86 (MODERATE reliability),3.86,2.95 (LOW reliability),2.95,3.55 (MODERATE reliability),3.55
8321,Molecule 8321,O=C1NC(=NC=C1Cc2ccc3OCOc3(c2))NCCSCc4nc[nH]c4C,2.21 (LOW reliability),2.21,1.31 (LOW reliability),1.31,1.61 (LOW reliability),1.61
8322,Molecule 8322,O=C(OCCN(CC)CC)C=Cc1ccc(OC)cc1,3.55 (EXPERIMENTAL value),3.12,3.55 (EXPERIMENTAL value),2.54,3.55 (EXPERIMENTAL value),2.97
8323,Molecule 8323,O=C(OCCN(CC)CC)C=Cc1cc(OC)c(OC)c(OC)c1,2.84 (EXPERIMENTAL value),3.28,2.84 (EXPERIMENTAL value),2,2.84 (EXPERIMENTAL value),2.94
8324,Molecule 8324,O=C(OCCN(CC)CC)C=Cc1ccc(F)cc1,3.52 (EXPERIMENTAL value),3.24,3.52 (EXPERIMENTAL value),3.22,3.52 (EXPERIMENTAL value),3.2
8325,Molecule 8325,OC(COc2cccc3[nH]c1ccccc1c23)CNCCOc4ccccc4(OC),4.19 (EXPERIMENTAL value),3.56,4.19 (EXPERIMENTAL value),2.12,4.19 (EXPERIMENTAL value),4.01
8326,Molecule 8326,O=C(OCN1C(=O)N(CC#C)CC1(=O))C2C(C=C(C)C)C2(C)(C),4.13 (LOW reliability),4.13,2.59 (LOW reliability),2.59,2.86 (LOW reliability),2.86
8327,Molecule 8327,O=C(OC)C(=Cc1occc1)[N+](=O)[O-],1.88 (EXPERIMENTAL value),0.91,1.88 (EXPERIMENTAL value),0.18,1.88 (EXPERIMENTAL value),1.29
8328,Molecule 8328,O=C(c1ccc2ncccc2(c1))C,1.58 (EXPERIMENTAL value),1.66,1.58 (EXPERIMENTAL value),1.7,1.58 (EXPERIMENTAL value),1.76
8329,Molecule 8329,n1cc(c(nc1N)N)Cc2ccc(OC)c(OCC)c2,1.2 (EXPERIMENTAL value),1.87,1.2 (EXPERIMENTAL value),1.61,1.2 (EXPERIMENTAL value),1.91
8330,Molecule 8330,O=C1OC3(c2ccccc12)(CCCC3),2.56 (EXPERIMENTAL value),3.51,2.56 (EXPERIMENTAL value),2.57,2.56 (EXPERIMENTAL value),2.7
8331,Molecule 8331,n1cc(c(nc1N)N)Cc2cc(OCC)c(c(OCC)c2)n3cccc3,2.89 (EXPERIMENTAL value),3.01,2.89 (EXPERIMENTAL value),1.92,2.89 (EXPERIMENTAL value),3.13
8332,Molecule 8332,O2C3c1ccccc1C2C(N)C3,0.67 (GOOD reliability),0.67,1.27 (MODERATE reliability),1.27,0.53 (GOOD reliability),0.53
8333,Molecule 8333,O=C(N(c1ccccc1)C)COc3nc2ccccc2s3,3.23 (EXPERIMENTAL value),3.52,3.23 (EXPERIMENTAL value),2.49,3.23 (EXPERIMENTAL value),3.49
8334,Molecule 8334,O=C(N)c1ccc(OCCCC)cc1,2.48 (EXPERIMENTAL value),2.29,2.48 (EXPERIMENTAL value),1.97,2.48 (EXPERIMENTAL value),2.14
8335,Molecule 8335,n1cc(c(nc1N)N)Cc2ccc(OC)c(c2)C,1.91 (EXPERIMENTAL value),1.85,1.91 (EXPERIMENTAL value),1.85,1.91 (EXPERIMENTAL value),2.06
8336,Molecule 8336,n1cc(c(nc1N)N)Cc2ccc(c(OC)c2)C,2.14 (EXPERIMENTAL value),1.85,2.14 (EXPERIMENTAL value),1.85,2.14 (EXPERIMENTAL value),2.06
8337,Molecule 8337,n1cc(c(nc1N)N)Cc2ccc(OC)c(c2)C(C)C,2.79 (EXPERIMENTAL value),2.75,2.79 (EXPERIMENTAL value),2.37,2.79 (EXPERIMENTAL value),2.77
8338,Molecule 8338,n1cc(c(nc1N)N)Cc2ccc(c(OC)c2)C(C)C,3.14 (EXPERIMENTAL value),2.75,3.14 (EXPERIMENTAL value),2.37,3.14 (EXPERIMENTAL value),2.77
8339,Molecule 8339,n1cc(c(nc1N)N)Cc2ccc(c(OC)c2)Cl,1.87 (EXPERIMENTAL value),1.94,1.87 (EXPERIMENTAL value),2.12,1.87 (EXPERIMENTAL value),2.24
8340,Molecule 8340,n1cc(c(nc1N)N)Cc2ccc(OC)c(c2)Cl,1.65 (EXPERIMENTAL value),1.94,1.65 (EXPERIMENTAL value),2.12,1.65 (EXPERIMENTAL value),2.24
8341,Molecule 8341,O=C(NCC(O)CO)c1c(c(NC(=O)COC)c(c(C(=O)N(C)CC(O)CO)c1I)I)I,-2.05 (EXPERIMENTAL value),-2.29,-2.05 (EXPERIMENTAL value),0.21,-2.05 (EXPERIMENTAL value),-0.84
8342,Molecule 8342,Oc1ccc(cc1(OC))Cc2cnc(nc2(N))N,0.64 (EXPERIMENTAL value),0.82,0.64 (EXPERIMENTAL value),1.08,0.64 (EXPERIMENTAL value),1.31
8343,Molecule 8343,O=S(c3ccc(c1nc2ncccc2([nH]1))c(OC)c3)C,1.18 (EXPERIMENTAL value),-0.58,1.18 (EXPERIMENTAL value),0.81,1.18 (EXPERIMENTAL value),1.73
8344,Molecule 8344,O=C1Oc2c3ccoc3(cc(c2(C=C1))C),2.41 (EXPERIMENTAL value),2.9,2.41 (EXPERIMENTAL value),1.87,2.41 (EXPERIMENTAL value),2.69
8345,Molecule 8345,O=C(O)c1ccccc1(NC(=O)NN),-0.49 (EXPERIMENTAL value),-0.91,-0.49 (EXPERIMENTAL value),1.04,-0.49 (EXPERIMENTAL value),-0.15
8346,Molecule 8346,O=C(O)c1cccc(c1)NC(=O)NN,-0.16 (EXPERIMENTAL value),-0.91,-0.16 (EXPERIMENTAL value),1.04,-0.16 (EXPERIMENTAL value),-0.15
8347,Molecule 8347,O=C(O)c1ccc(cc1)NC(=O)NN,-0.21 (EXPERIMENTAL value),-0.91,-0.21 (EXPERIMENTAL value),1.04,-0.21 (EXPERIMENTAL value),-0.15
8348,Molecule 8348,O=S(=O)(Nc1ncc(cn1)C(C)C)c2ccc(N)cc2,1.23 (EXPERIMENTAL value),1.12,1.23 (EXPERIMENTAL value),1.74,1.23 (EXPERIMENTAL value),2.02
8349,Molecule 8349,"C[C@@H](Cc1ccc(cc1)OC)NC[C@@H](O)c1cc(NC=O)c(O)cc1 |&1:1,13|",[Error],-,[Error],-,[Error],-
8350,Molecule 8350,O=C3OC(CCC2C(C=CC1=CCCC(OC(=O)C(C)CC)C12)C)CC(O)C3,3.95 (EXPERIMENTAL value),4.66,3.95 (EXPERIMENTAL value),3.59,3.95 (EXPERIMENTAL value),3.97
8351,Molecule 8351,n1cc(c(nc1N)N)Cc2cc(c(OC)c(c2)C)C,2.19 (EXPERIMENTAL value),2.39,2.19 (EXPERIMENTAL value),2.12,2.19 (EXPERIMENTAL value),2.55
8352,Molecule 8352,O=S(c1nc2cc(OC)ccc2([nH]1))Cc3ncc(c(OC)c3C)C,2.23 (EXPERIMENTAL value),1.45,2.23 (EXPERIMENTAL value),0.64,2.23 (EXPERIMENTAL value),3.12
8353,Molecule 8353,O=C(N)NC(=O)C(C(=O)OCC)(CC)CC,1.45 (EXPERIMENTAL value),0.27,1.45 (EXPERIMENTAL value),0.9,1.45 (EXPERIMENTAL value),1.12
8354,Molecule 8354,O=C(N)NC(=O)C(C(=O)OC(C)C)(CC)CC,1.99 (EXPERIMENTAL value),0.69,1.99 (EXPERIMENTAL value),1.19,1.99 (EXPERIMENTAL value),1.5
8355,Molecule 8355,O=C(N)NC(=O)C(C(=O)OCc1ccccc1)(CC)CC,2.74 (EXPERIMENTAL value),1.49,2.74 (EXPERIMENTAL value),2,2.74 (EXPERIMENTAL value),2.36
8356,Molecule 8356,O=C(N)NC(=O)C(C(=O)OCOC)(CC)CC,1 (EXPERIMENTAL value),-0.48,1 (EXPERIMENTAL value),0.54,1 (EXPERIMENTAL value),0.63
8357,Molecule 8357,O=C(N)NC(=O)C(C(=O)OCC(=O)OC)(CC)CC,0.99 (EXPERIMENTAL value),-0.68,0.99 (EXPERIMENTAL value),0.4,0.99 (EXPERIMENTAL value),0.7
8358,Molecule 8358,O=C(N)NC(=O)C(C(=O)OC)(c1ccccc1)CC,1.58 (EXPERIMENTAL value),0.28,1.58 (EXPERIMENTAL value),1.48,1.58 (EXPERIMENTAL value),1.35
8359,Molecule 8359,O=C(OC)C(C(=O)NC(=O)N)(CC=C)CC=C,1.37 (EXPERIMENTAL value),0.49,1.37 (EXPERIMENTAL value),1.01,1.37 (EXPERIMENTAL value),0.91
8360,Molecule 8360,O=C(NC(=O)C(C(=O)OC)(C)C1C=CCCC1)NC,1.75 (EXPERIMENTAL value),1.93,1.75 (EXPERIMENTAL value),1.26,1.75 (EXPERIMENTAL value),1.33
8361,Molecule 8361,O=C(NC(=O)C(C(=O)OCOC)(C1=CCCCC1)C)NC,1.8 (EXPERIMENTAL value),1.79,1.8 (EXPERIMENTAL value),1.17,1.8 (EXPERIMENTAL value),1.38
8362,Molecule 8362,O=C(O)c1ccc(N)cc1I,1.65 (EXPERIMENTAL value),2.12,1.65 (EXPERIMENTAL value),2.05,1.65 (EXPERIMENTAL value),1.27
8363,Molecule 8363,O=C(OC)C(C(=O)NC(N)=S)(CC)CC,1.82 (EXPERIMENTAL value),0.03,1.82 (EXPERIMENTAL value),0.55,1.82 (EXPERIMENTAL value),1.67
8364,Molecule 8364,OC(c1ccc(cc1)CCc2ccccc2)Cn3cncc3,3.4 (EXPERIMENTAL value),4.01,3.4 (EXPERIMENTAL value),3.16,3.4 (EXPERIMENTAL value),3.43
8365,Molecule 8365,c1cc2c(c(c1)Cl)CCN(C)CC2,2.87 (GOOD reliability),2.87,3.39 (MODERATE reliability),3.39,2.96 (GOOD reliability),2.96
8366,Molecule 8366,O=C(OCC)c1ccc2ncccc2(c1),2.31 (MODERATE reliability),2.31,2.22 (LOW reliability),2.22,2.22 (MODERATE reliability),2.22
8367,Molecule 8367,O=C(O)C1=CN(c2nc(c(F)cc2(C1(=O)))N3CCNCC3)CC,-0.2 (EXPERIMENTAL value),-1.33,-0.2 (EXPERIMENTAL value),0.43,-0.2 (EXPERIMENTAL value),1.2
8368,Molecule 8368,"CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(OC(=O)CC)[C@@H](OC(=O)CCC)[C@H](C)O3)[C@@H]([C@H]2O)N(C)C)[C@@H](CC=O)C[C@@H](C)[C@@H](O)C=CC=CC[C@@H](C)OC(=O)C[C@H]1O |t:47,49|",[Error],-,[Error],-,[Error],-
8369,Molecule 8369,O=C1Nc4ccccc4(C(=O)N1CCN3CCC(C(=O)c2ccc(F)cc2)CC3),3.29 (EXPERIMENTAL value),3.63,3.29 (EXPERIMENTAL value),2.57,3.29 (EXPERIMENTAL value),2.99
8370,Molecule 8370,O=C1C(=C(O)CC(C1)CC(C)SCC)C(=NOCC)CCC,4.38 (EXPERIMENTAL value),3.8,4.38 (EXPERIMENTAL value),2.3,4.38 (EXPERIMENTAL value),2.81
8371,Molecule 8371,O=C(Nc1ccc(cc1Cl)Cl)C(C=C)C,3.49 (EXPERIMENTAL value),3.65,3.49 (EXPERIMENTAL value),3.54,3.49 (EXPERIMENTAL value),3.47
8372,Molecule 8372,O=[N+]([O-])c2ccc(Oc1ccccc1)c(c2(N))Cl,4.04 (EXPERIMENTAL value),3.59,4.04 (EXPERIMENTAL value),2.91,4.04 (EXPERIMENTAL value),3.2
8373,Molecule 8373,O=C(Nc2cccc(OCc1ccccc1)c2)N(OC)C,3.11 (EXPERIMENTAL value),3.41,3.11 (EXPERIMENTAL value),3.07,3.11 (EXPERIMENTAL value),2.57
8374,Molecule 8374,n1nc(nnc1c2ccccc2Cl)c3ccccc3Cl,3.1 (EXPERIMENTAL value),0.89,3.1 (EXPERIMENTAL value),3.72,3.1 (EXPERIMENTAL value),4.21
8375,Molecule 8375,O=C2c1ccccc1S(=O)(=O)c3cc(ccc23)NC(=O)C,2.35 (EXPERIMENTAL value),1.51,2.35 (EXPERIMENTAL value),1.11,2.35 (EXPERIMENTAL value),1.72
8376,Molecule 8376,O=C2c1ccc(cc1S(=O)(=O)c3ccc(cc23)C)NC(=O)C,2.76 (EXPERIMENTAL value),2.05,2.76 (EXPERIMENTAL value),1.36,2.76 (EXPERIMENTAL value),2.2
8377,Molecule 8377,O=C2c1ccc(cc1S(=O)(=O)c3ccc(cc23)CC)NC(=O)C,3.44 (EXPERIMENTAL value),2.55,3.44 (EXPERIMENTAL value),1.6,3.44 (EXPERIMENTAL value),2.66
8378,Molecule 8378,O=C2c1ccc(cc1S(=O)(=O)c3ccc(cc23)CCC)NC(=O)C,3.51 (EXPERIMENTAL value),3.04,3.51 (EXPERIMENTAL value),1.84,3.51 (EXPERIMENTAL value),3.12
8379,Molecule 8379,O=[N+]([O-])c1nccn1CCS(=O)C,-1.22 (EXPERIMENTAL value),-1.14,-1.22 (EXPERIMENTAL value),0.26,-1.22 (EXPERIMENTAL value),-0.14
8380,Molecule 8380,O=C(N(CCO)CCO)Cn1ccnc1[N+](=O)[O-],-1.64 (EXPERIMENTAL value),-2.43,-1.64 (EXPERIMENTAL value),-0.58,-1.64 (EXPERIMENTAL value),-1.24
8381,Molecule 8381,O=C(NCC(O)CO)Cn1ccnc1[N+](=O)[O-],-1.85 (EXPERIMENTAL value),-2.72,-1.85 (EXPERIMENTAL value),-0.9,-1.85 (EXPERIMENTAL value),-1.42
8382,Molecule 8382,O=[N+]([O-])C1=C(NCC1)NCCSCc2nc[nH]c2C,0.22 (LOW reliability),0.22,0.83 (LOW reliability),0.83,0.21 (MODERATE reliability),0.21
8383,Molecule 8383,O=[N+]([O-])c2cc[nH]c2(NCCSCc1nc[nH]c1C),1.04 (EXPERIMENTAL value),1.23,1.04 (EXPERIMENTAL value),1.19,1.04 (EXPERIMENTAL value),1.45
8384,Molecule 8384,O=C3OC4C(C)C(N)C(C)CC(O)(C)C(OC1OC(C)CC(N(C)C)C1(O))C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C(C(=O)OC(CC)C4(O3)(C))C,2.92 (EXPERIMENTAL value),-0.07,2.92 (EXPERIMENTAL value),1.37,2.92 (EXPERIMENTAL value),2.65
8385,Molecule 8385,O=C(OC)c1ccccc1S(=O)(=O)NC(=O)Nc2nc(cc(n2)C)C,1.2 (EXPERIMENTAL value),1.06,1.2 (EXPERIMENTAL value),1.89,1.2 (EXPERIMENTAL value),1.26
8386,Molecule 8386,O=C(OC)c1ccccc1S(=O)(=O)NC(=O)Nc2nc(nc(n2)C)OC,2.2 (EXPERIMENTAL value),2.2,2.2 (EXPERIMENTAL value),2.07,2.2 (EXPERIMENTAL value),1.09
8387,Molecule 8387,O=C(OCC(=O)C3(O)(CCC2C4CCC1=CC(=O)CCC1(C)C4(C(O)CC23(C))))CCC(=O)N(C)C,2.03 (EXPERIMENTAL value),1.58,2.03 (EXPERIMENTAL value),1.64,2.03 (EXPERIMENTAL value),1.23
8388,Molecule 8388,O=C(NN)NC(C)(C)C,-0.81 (EXPERIMENTAL value),-1.22,-0.81 (EXPERIMENTAL value),0.57,-0.81 (EXPERIMENTAL value),-0.4
8389,Molecule 8389,O=C(Nc1ccccc1)CN(c2ccccc2)C(=O)CCl,2.32 (EXPERIMENTAL value),2.57,2.32 (EXPERIMENTAL value),2.81,2.32 (EXPERIMENTAL value),2.75
8390,Molecule 8390,O=C(Nc1ccccc1)CN(c2ccccc2)C(=O)C,2.01 (EXPERIMENTAL value),2.31,2.01 (EXPERIMENTAL value),2.57,2.01 (EXPERIMENTAL value),2.01
8391,Molecule 8391,O=C(Nc1ccccc1)CN(c2ccccc2)C(=O)C(C)Cl,3.02 (EXPERIMENTAL value),2.99,3.02 (EXPERIMENTAL value),3.05,3.02 (EXPERIMENTAL value),3.13
8392,Molecule 8392,O=C(Nc1ccccc1)CN(c2ccccc2)C(=O)C(Cl)Cl,2.96 (EXPERIMENTAL value),4.02,2.96 (EXPERIMENTAL value),3.05,2.96 (EXPERIMENTAL value),3.2
8393,Molecule 8393,O=C(ON=C(C)SC)N(C)SN(C(=O)N(C)C)C,1.2 (EXPERIMENTAL value),0.06,1.2 (EXPERIMENTAL value),3.04,1.2 (EXPERIMENTAL value),0.89
8394,Molecule 8394,O=C(ON=C(C)SC)N(C)SN(C(=O)N(CC)CC)C,3.2 (EXPERIMENTAL value),1.04,3.2 (EXPERIMENTAL value),3.64,3.2 (EXPERIMENTAL value),1.59
8395,Molecule 8395,O=C(ON=C(C)SC)N(C)SN(C(=O)N(C)C)C1CC1,2 (EXPERIMENTAL value),-0.17,2 (EXPERIMENTAL value),3.24,2 (EXPERIMENTAL value),1.38
8396,Molecule 8396,O=C(ON=C(C)SC)N(C)SN(C(=O)N(C)C)CCCCCC,3.3 (EXPERIMENTAL value),2.51,3.3 (EXPERIMENTAL value),4.45,3.3 (EXPERIMENTAL value),3.13
8397,Molecule 8397,O=C(OCC)C=COc1ccccc1Cl,3.55 (EXPERIMENTAL value),3.03,3.55 (EXPERIMENTAL value),2.57,3.55 (EXPERIMENTAL value),2.68
8398,Molecule 8398,O=C(NCCO)c1c(c(C(=O)NCCO)c(c(c1I)N(C(=O)C)CC(O)CO)I)I,-1.86 (EXPERIMENTAL value),-1.12,-1.86 (EXPERIMENTAL value),0.73,-1.86 (EXPERIMENTAL value),-0.82
8399,Molecule 8399,O=C(Nc1c(cccc1C)C)c2ccc(cc2)CN(CC)CC,3.49 (EXPERIMENTAL value),3.71,3.49 (EXPERIMENTAL value),3.99,3.49 (EXPERIMENTAL value),4.36
8400,Molecule 8400,[Br-].CCCCCC[n+]1ccccc1,[Error],-,[Error],-,[Error],-
8401,Molecule 8401,c2c(c1c(cc(cc1Cl)Cl)Cl)c(c(cc2Cl)Cl)Cl,7.62 (GOOD reliability),7.62,6.47 (LOW reliability),6.47,7.33 (GOOD reliability),7.33
8402,Molecule 8402,c1c(cc(cc1Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,7.1 (EXPERIMENTAL value),7.62,7.1 (EXPERIMENTAL value),6.47,7.1 (EXPERIMENTAL value),7.33
8403,Molecule 8403,c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,7.2 (EXPERIMENTAL value),7.62,7.2 (EXPERIMENTAL value),6.47,7.2 (EXPERIMENTAL value),7.33
8404,Molecule 8404,c1c(cc(cc1Cl)Cl)c2c(c(cc(c2Cl)Cl)Cl)Cl,7.37 (EXPERIMENTAL value),7.62,7.37 (EXPERIMENTAL value),6.47,7.37 (EXPERIMENTAL value),7.33
8405,Molecule 8405,O=C(N)C2(c3ccccc3(c1ccccc12))CCCNC(C)C,3.11 (EXPERIMENTAL value),3.07,3.11 (EXPERIMENTAL value),3.45,3.11 (EXPERIMENTAL value),3.02
8406,Molecule 8406,O=[N+]([O-])c3cnc(C=Cc1ccc2OCOc2(c1))n3CCO,2.03 (EXPERIMENTAL value),2.04,2.03 (EXPERIMENTAL value),0.92,2.03 (EXPERIMENTAL value),1.56
8407,Molecule 8407,O=[N+]([O-])c1cnc(n1C)C2CC2,1 (EXPERIMENTAL value),0.74,1 (EXPERIMENTAL value),1.07,1 (EXPERIMENTAL value),0.97
8408,Molecule 8408,O=[N+]([O-])c1cnc(n1CC(O)Cn2c(ncc2[N+](=O)[O-])C)C,0.31 (EXPERIMENTAL value),0.55,0.31 (EXPERIMENTAL value),0.68,0.31 (EXPERIMENTAL value),-0.2
8409,Molecule 8409,O=Cc1cc(ccc1Br)Br,3.35 (EXPERIMENTAL value),3.49,3.35 (EXPERIMENTAL value),2.99,3.35 (EXPERIMENTAL value),3.09
8410,Molecule 8410,O=[N+]([O-])c1cncn1CCN2CCN(C)CC2,-0.2 (EXPERIMENTAL value),-0.29,-0.2 (EXPERIMENTAL value),0.89,-0.2 (EXPERIMENTAL value),0.04
8411,Molecule 8411,O=C(Nc1c(cccc1C)C)c2cccc(c2)CN3CCCC3,3.1 (EXPERIMENTAL value),3.59,3.1 (EXPERIMENTAL value),3.59,3.1 (EXPERIMENTAL value),4.12
8412,Molecule 8412,O=C(Nc1c(cccc1C)C)c2ccc(cc2)CN3CCCCC3,3.86 (EXPERIMENTAL value),4.08,3.86 (EXPERIMENTAL value),3.82,3.86 (EXPERIMENTAL value),4.58
8413,Molecule 8413,O=C(Nc1c(cccc1C)C)c2cccc(c2)CN3CCOCC3,2.14 (EXPERIMENTAL value),2.34,2.14 (EXPERIMENTAL value),2.79,2.14 (EXPERIMENTAL value),3.35
8414,Molecule 8414,O=C(O)C(=O)Nc1nc(cs1)c2ccc3OCCOc3(c2),1.8 (EXPERIMENTAL value),0.68,1.8 (EXPERIMENTAL value),-0.29,1.8 (EXPERIMENTAL value),1.43
8415,Molecule 8415,N(=Cc1nc2ccccc2(cc1))NC(=Nc3ccccc3)N,0.99 (EXPERIMENTAL value),-0.08,0.99 (EXPERIMENTAL value),2.82,0.99 (EXPERIMENTAL value),3.13
