Prediction and Applicability Domain analysis for models:,,,,,,,,
LogP model (Meylan-Kowwin) (version 1.1.5),,,,,,,,
LogP model (MLogP) (version 1.0.1),,,,,,,,
LogP model (ALogP) (version 1.0.1),,,,,,,,
(calculation core version : 1.3.19),,,,,,,,
,,,,,,,,
No.,tId,SMILES,LogP model (Meylan-Kowwin)-assessment,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-assessment,LogP model (MLogP)-prediction,LogP model (ALogP)-assessment,LogP model (ALogP)-prediction
42,Molecule 42,O1c2cc(c(cc2(OC1))CCC)COCCOCCOCCCC,4.75 (EXPERIMENTAL value),4.29,4.75 (EXPERIMENTAL value),1.97,4.75 (EXPERIMENTAL value),3.87
43,Molecule 43,O=C(NCCN(CC)CC)c1ccc(N)cc1,0.88 (EXPERIMENTAL value),0.97,0.88 (EXPERIMENTAL value),1.72,0.88 (EXPERIMENTAL value),1.13
44,Molecule 44,O=C(NNCCC(=O)NCc1ccccc1)c2ccncc2,0.87 (EXPERIMENTAL value),0.32,0.87 (EXPERIMENTAL value),1.16,0.87 (EXPERIMENTAL value),0.68
45,Molecule 45,n1c[nH]c2ccccc12,1.32 (EXPERIMENTAL value),1.23,1.32 (EXPERIMENTAL value),1.35,1.32 (EXPERIMENTAL value),1.35
46,Molecule 46,O=C1NC=C(C(=O)N1)Br,-0.47 (MODERATE reliability),-0.47,-0.24 (LOW reliability),-0.24,-0.56 (MODERATE reliability),-0.56
47,Molecule 47,O=C1NC=C(F)C(=O)N1,-0.81 (MODERATE reliability),-0.81,-0.63 (MODERATE reliability),-0.63,-1.1 (MODERATE reliability),-1.1
48,Molecule 48,O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-],1.67 (EXPERIMENTAL value),1.15,1.67 (EXPERIMENTAL value),1.22,1.67 (EXPERIMENTAL value),1.35
49,Molecule 49,O=C(OC1CC3N(C)C(C1)C2OC23)C(c4ccccc4)CO,0.98 (EXPERIMENTAL value),0.73,0.98 (EXPERIMENTAL value),1.42,0.98 (EXPERIMENTAL value),0.82
50,Molecule 50,O=C(O)c1cc(cc(c1)Cl)Cl,3 (EXPERIMENTAL value),3.16,3 (EXPERIMENTAL value),2.89,3 (EXPERIMENTAL value),2.76
51,Molecule 51,Oc1ccc(cc1(O))C(O)CN,-1.24 (EXPERIMENTAL value),-1.16,-1.24 (EXPERIMENTAL value),-0.06,-1.24 (EXPERIMENTAL value),-0.11
52,Molecule 52,Oc1ccc(cc1(O))C(O)CNC,-1.37 (EXPERIMENTAL value),-0.7,-1.37 (EXPERIMENTAL value),0.25,-1.37 (EXPERIMENTAL value),0.32
53,Molecule 53,O=C(O)c1ccc(c(c1)Cl)Cl,3.25 (EXPERIMENTAL value),3.16,3.25 (EXPERIMENTAL value),2.89,3.25 (EXPERIMENTAL value),2.76
54,Molecule 54,n1c[nH]c(c1)CCN,-0.7 (EXPERIMENTAL value),-0.37,-0.7 (EXPERIMENTAL value),-0.34,-0.7 (EXPERIMENTAL value),-0.85
55,Molecule 55,O=C(OC2CC1N(C)C(CC1)C2)C(c3ccccc3)CO,1.83 (EXPERIMENTAL value),2.25,1.83 (EXPERIMENTAL value),2.21,1.83 (EXPERIMENTAL value),1.72
56,Molecule 56,Oc1ccc(cc1(O))CCN,-0.98 (EXPERIMENTAL value),0.38,-0.98 (EXPERIMENTAL value),0.74,-0.98 (EXPERIMENTAL value),0.72
57,Molecule 57,NC(C)Cc1ccccc1,1.76 (EXPERIMENTAL value),1.76,1.76 (EXPERIMENTAL value),2.24,1.76 (EXPERIMENTAL value),1.63
58,Molecule 58,O=C(Nc1ccc(OC)cc1)C,1.03 (EXPERIMENTAL value),1.18,1.03 (EXPERIMENTAL value),1.38,1.03 (EXPERIMENTAL value),0.93
59,Molecule 59,N(C)(CCCl)CCCl,0.91 (EXPERIMENTAL value),1.53,0.91 (EXPERIMENTAL value),1.94,0.91 (EXPERIMENTAL value),1.65
60,Molecule 60,O=C(OCC)N,-0.15 (EXPERIMENTAL value),-0.02,-0.15 (EXPERIMENTAL value),0.11,-0.15 (EXPERIMENTAL value),0.16
61,Molecule 61,O=C1OC3(CC1)(CCC2C5C(CCC23(C))C4(C(=CC(=O)CC4)CC5SC(=O)C)(C)),2.52 (EXPERIMENTAL value),3.14,2.52 (EXPERIMENTAL value),3.77,2.52 (EXPERIMENTAL value),3.59
