SMILES,Kow,Kowwin,Wildman-Crippen LogP,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction,mols,carboxylic acid,amide,ester,benzene,ketone,halogen,primary amine,secondary amine,tertiary amine,aliphatic hydroxyl,unbranched alkane >4,alkyl halide,nitrile,nitro,sulfide,sulfonamide,ether,aromatic hydroxyl,aromatic nitrogen,aromatic amine,aniline,phenol,bicyclic,rings,saturated rings,aromatic rings,consensus logp,Kowwin error,Wildman-Crippen error,Meylan-Kowwin error,MLogP error,ALogP error,consensus logp error
NC(=O)Cc1ccccn1,-0.65,-0.64,0.1093999999999997,-0.64,-0.2,0.14,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975770>,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-0.24612000000000006,0.010000000000000009,0.7593999999999997,0.010000000000000009,0.45,0.79,0.40387999999999996
COc1cccc(OC(C)=O)c1,1.61,1.67,1.6205,1.67,1.78,1.58,<rdkit.Chem.rdchem.Mol object at 0x00000184B99757E0>,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1.6641,0.05999999999999983,0.010499999999999954,0.05999999999999983,0.16999999999999993,0.030000000000000027,0.054099999999999815
NS(=O)(=O)c1ccccc1[N+](=O)[O-],0.34,0.19,0.2422,0.19,0.75,0.55,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975850>,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0.38444,0.15000000000000002,0.09780000000000003,0.15000000000000002,0.41,0.21000000000000002,0.04443999999999998
N#Cc1c[nH]c2ccccc12,2.32,1.6,2.03958,1.6,1.1,2.0,<rdkit.Chem.rdchem.Mol object at 0x00000184B99758C0>,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,2,1.667916,0.7199999999999998,0.2804199999999999,0.7199999999999998,1.2199999999999998,0.31999999999999984,0.6520839999999999
CCCNC(=O)c1ccc(S(N)(=O)=O)cc1,0.51,0.56,0.4738000000000001,0.56,1.13,0.74,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975930>,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.69276,0.050000000000000044,0.0361999999999999,0.050000000000000044,0.6199999999999999,0.22999999999999998,0.18276000000000003
CCNC(=O)Cc1ccccc1,1.0,1.5,1.3652000000000002,1.28,1.98,1.42,<rdkit.Chem.rdchem.Mol object at 0x00000184B99759A0>,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.50904,0.5,0.3652000000000002,0.28,0.98,0.41999999999999993,0.5090399999999999
Nc1nnnn1-c1ccccc1,0.69,-0.18,0.2444999999999993,-0.73,1.63,0.86,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975A10>,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,2,0.36489999999999984,0.8699999999999999,0.4455000000000007,1.42,0.94,0.17000000000000004,0.3251000000000001
Nc1ccc(Cl)nn1,0.35,0.52,0.7122,-0.33,0.51,0.88,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975A80>,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0.45844000000000007,0.17000000000000004,0.3622000000000001,0.6799999999999999,0.16000000000000003,0.53,0.10844000000000009
Nc1ncccn1,-0.22,-0.12,0.0587999999999998,-0.98,-0.17,-0.17,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975AF0>,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,-0.27624,0.1,0.2787999999999998,0.76,0.04999999999999999,0.04999999999999999,0.056239999999999984
COc1ccc(NC=O)cc1,1.03,1.21,1.2634999999999998,2.13,1.47,0.99,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975B60>,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1.4126999999999998,0.17999999999999994,0.23349999999999982,1.0999999999999999,0.43999999999999995,0.040000000000000036,0.3826999999999998
CS(=O)(=O)c1ccc(N)cc1,-0.12,-0.35,0.6723000000000002,-0.35,0.64,0.61,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975BD0>,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.24446000000000004,0.22999999999999998,0.7923000000000002,0.22999999999999998,0.76,0.73,0.36446
O=Cc1ccc2ccccc2n1,2.14,1.86,2.0473,1.7,1.41,2.2,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975C40>,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2,1.8434600000000003,0.28,0.09270000000000023,0.44000000000000017,0.7300000000000002,0.06000000000000005,0.2965399999999998
Cc1ccccc1C(O)c1ccccc1,3.06,3.26,3.0767200000000017,3.26,3.39,3.32,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975CB0>,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3.2613440000000002,0.19999999999999973,0.016720000000001622,0.19999999999999973,0.33000000000000007,0.2599999999999998,0.2013440000000002
CC(=O)OCN1C(=O)c2ccccc2C1=O,1.15,1.6,0.8032000000000001,1.67,1.3,0.68,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975D20>,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1.21064,0.4500000000000002,0.3467999999999998,0.52,0.15000000000000013,0.46999999999999986,0.06064000000000003
N#CC1CC1,0.68,0.65,0.91998,-0.38,0.26,0.8,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975D90>,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.44999600000000006,0.030000000000000027,0.23997999999999997,1.06,0.42000000000000004,0.12,0.230004
CCC(C)c1cccc(C(C)CC)c1O,4.36,4.56,4.4192000000000045,5.41,3.92,4.86,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975E00>,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,4.633840000000001,0.1999999999999993,0.05920000000000414,1.0499999999999998,0.4400000000000004,0.5,0.27384000000000075
CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1O,1.97,1.5,2.7889000000000035,0.15,1.31,2.38,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975E70>,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,5,8,7,0,1.6257800000000011,0.47,0.8189000000000035,1.82,0.6599999999999999,0.4099999999999999,0.34421999999999886
CCCCCCCCCCOc1ccc(C(=O)O)cc1,6.29,6.38,4.9043000000000045,6.38,4.85,5.48,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975EE0>,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5.598860000000001,0.08999999999999986,1.3856999999999955,0.08999999999999986,1.4400000000000004,0.8099999999999996,0.691139999999999
Cc1cncc(N)n1,0.35,0.43,0.36722,0.43,-0.57,-0.4,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975F50>,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0.051444000000000004,0.08000000000000002,0.017220000000000013,0.08000000000000002,0.9199999999999999,0.75,0.298556
