,Count,Kowwin Mean,Kowwin Standard Deviation,Kowwin Minimum,Kowwin Maximum,Kowwin Median,Kowwin Q1,Kowwin Q3,Wildman-Crippen Mean,Wildman-Crippen Standard Deviation,Wildman-Crippen Minimum,Wildman-Crippen Maximum,Wildman-Crippen Median,Wildman-Crippen Q1,Wildman-Crippen Q3,Meylan-Kowwin Mean,Meylan-Kowwin Standard Deviation,Meylan-Kowwin Minimum,Meylan-Kowwin Maximum,Meylan-Kowwin Median,Meylan-Kowwin Q1,Meylan-Kowwin Q3,MLogP Mean,MLogP Standard Deviation,MLogP Minimum,MLogP Maximum,MLogP Median,MLogP Q1,MLogP Q3,ALogP Mean,ALogP Standard Deviation,ALogP Minimum,ALogP Maximum,ALogP Median,ALogP Q1,ALogP Q3,consensus logp Mean,consensus logp Standard Deviation,consensus logp Minimum,consensus logp Maximum,consensus logp Median,consensus logp Q1,consensus logp Q3
With halogen,3925,0.35549702760084917,0.39245959670531216,0.0,6.199999999999999,0.25,0.1,0.4700000000000002,0.6104874437367304,0.6443774921801,0.0001800000000007,4.785200000000003,0.429599999999998,0.1953,0.7770000000000001,0.6234595893970893,0.6358658749887642,0.0,6.199999999999999,0.4099999999999997,0.1799999999999997,0.8799999999999999,0.774453179140679,0.7255036918210866,0.0,4.92,0.5800000000000001,0.2599999999999998,1.06,0.5744124653499654,0.611158027379616,0.0,5.13,0.3900000000000001,0.1799999999999999,0.7400000000000002,0.45657654488322713,0.4777127692795853,0.0003400000000004,4.75236,0.3275800000000002,0.157,0.5822199999999995
Without halogen,9920,0.3843547379032258,0.4966886110053733,0.0,18.24,0.25,0.1099999999999998,0.4999999999999998,0.6068767735215052,0.5792652338077242,3.552713678800501e-15,14.519199999999962,0.4591500000000003,0.21317500000000042,0.8302250000000015,0.6499746519702027,0.6964289899315409,0.0,21.64,0.4499999999999999,0.1800000000000001,0.8800000000000001,0.7371713351535375,0.6849147711454746,0.0,11.53,0.5599999999999999,0.2500000000000001,1.01,0.5463856136447904,0.6029361974575351,0.0,16.75,0.39,0.1799999999999997,0.7000000000000002,0.45104250799731177,0.491799816499355,3.5999999999702936e-05,15.707839999999994,0.32711999999999913,0.14783499999999988,0.5916649999999999
With primary amine,2424,0.44608704620462036,0.66035773038665,0.0,9.16,0.24,0.1,0.48,0.6285588531353136,0.70090970653265,0.0003000000000032,12.1221,0.4123600000000001,0.18664999999999682,0.7975000000000001,0.7882849440066362,0.8281703282732017,0.0,6.960000000000001,0.52,0.2099999999999999,1.08,0.7259456656988801,0.726502319244843,0.0,11.53,0.51,0.24,0.9400000000000002,0.635228121111572,0.7887146891000797,0.0,10.84,0.3900000000000001,0.1799999999999999,0.7149999999999999,0.5212259752475247,0.6508400628853663,0.0003399999999995,10.122420000000002,0.32642800000000005,0.15173999999999999,0.60837
Without primary amine,11421,0.36133524501649006,0.4166816205124467,0.0,18.24,0.25,0.1099999999999994,0.49,0.603515817353997,0.5742626361981314,3.552713678800501e-15,14.519199999999962,0.4579000000000004,0.2128199999999975,0.8176000000000001,0.6115236476543646,0.6399608661328254,0.0,21.64,0.42,0.1799999999999997,0.8399999999999999,0.7522274560009418,0.6901321487711015,0.0,10.07,0.5700000000000003,0.2599999999999999,1.0399999999999996,0.5369955412325623,0.5571384678069377,0.0,16.75,0.39,0.1799999999999997,0.7100000000000001,0.43804858191051566,0.4443121757052379,3.5999999999702936e-05,15.707839999999994,0.3273999999999999,0.1508400000000009,0.58528
With secondary amine,4898,0.44870947325438953,0.5553165420098545,0.0,6.199999999999999,0.29,0.12,0.57,0.6265691690485913,0.5665515983224794,0.0001800000000007,4.549300000000001,0.4703,0.21633999999999975,0.8736999999999995,0.7434846500204666,0.7329461191534733,0.0,6.199999999999999,0.52,0.2299999999999999,1.0000000000000002,0.7764191567744576,0.679791502078577,0.0,5.79,0.5900000000000001,0.2799999999999998,1.08,0.5949169054441261,0.6352775652465235,0.0,4.5600000000000005,0.4100000000000001,0.1899999999999999,0.7500000000000001,0.5021258305430788,0.531377370676653,0.00034,4.75236,0.35388999999999965,0.15987500000000002,0.6507800000000001
Without secondary amine,8947,0.3364642710778286,0.4099900093071407,0.0,18.24,0.2299999999999999,0.1,0.4500000000000002,0.5976802302447746,0.6149624546892873,3.552713678800501e-15,14.519199999999962,0.4408999999999983,0.20371,0.7838499999999996,0.5868270063646291,0.6423533636523595,0.0,21.64,0.3999999999999994,0.1600000000000001,0.8,0.7317138364779874,0.7053910081031183,0.0,11.53,0.5499999999999998,0.2400000000000002,0.9900000000000002,0.5317797424019884,0.5870219641649366,0.0,16.75,0.3799999999999999,0.1699999999999999,0.69,0.4255048954956968,0.46004585401296993,3.5999999999702936e-05,15.707839999999994,0.3142399999999996,0.14567000000000005,0.5585700000000001
With tertiary amine,7887,0.39096020878238447,0.40486284385675836,0.0,6.199999999999999,0.27,0.1199999999999994,0.5399999999999998,0.6185483939816576,0.5758574263389019,0.0001800000000007,5.664300000000007,0.4711999999999969,0.2276,0.8397800000000002,0.7284782729329407,0.6678229755978986,0.0,6.199999999999999,0.5299999999999998,0.2299999999999999,1.02,0.7748672258505144,0.6860445844064591,0.0,5.81,0.6,0.27,1.09,0.5761243223630853,0.58535828706858,0.0,5.47,0.4199999999999999,0.1899999999999999,0.75,0.4758753437724525,0.4432338656706448,3.5999999999702936e-05,4.75236,0.36154,0.16968,0.6412079999999998
Without tertiary amine,5958,0.35659980977956807,0.5431081169639619,0.0,18.24,0.2199999999999997,0.0900000000000003,0.4399999999999999,0.5938049054492557,0.626817108643725,3.552713678800501e-15,14.519199999999962,0.42409999999999937,0.18723999999999907,0.7810499999999985,0.5293496963562753,0.6795857125974948,0.0,21.64,0.3399999999999998,0.1399999999999996,0.6900000000000001,0.7117147435897436,0.7089478019945092,0.0,11.53,0.51,0.24,0.9499999999999996,0.5254034525416105,0.6296286124501985,0.0,16.75,0.3500000000000001,0.1600000000000001,0.6699999999999999,0.4218153376412665,0.5397551627162972,8.000000000008001e-05,15.707839999999994,0.2832299999999994,0.1305249999999993,0.5173400000000002
With aliphatic hydroxyl,1810,0.46325782688766115,0.46777744341930166,0.0,3.38,0.33,0.15000000000000002,0.6099999999999999,0.5813583996316759,0.5114398995945085,0.000499999999997,4.1997,0.4339000000000002,0.20355000000000667,0.84015,0.822622890001855,0.7279203459207122,0.0,4.1,0.6100000000000003,0.25,1.23,0.7518623631979224,0.69884803335249,0.0,5.79,0.56,0.2599999999999998,1.0199999999999996,0.5337469857169356,0.521999351514004,0.0,4.79,0.3700000000000001,0.1799999999999999,0.7400000000000001,0.4836132195211786,0.4522187111964635,0.0003399999999995,2.7621800000000003,0.35287,0.15186499999999983,0.667589999999999
Without aliphatic hydroxyl,12035,0.3630767068273092,0.4685664352046857,0.0,18.24,0.2399999999999997,0.1,0.4699999999999997,0.6118921567649909,0.6103521846023463,3.552713678800501e-15,14.519199999999962,0.4519800000000002,0.20784999999999984,0.8107000000000026,0.6154454355108877,0.6684416060051281,0.0,21.64,0.4199999999999999,0.17,0.8399999999999999,0.746975418760469,0.6964004357364528,0.0,11.53,0.56,0.2599999999999998,1.0200000000000002,0.5573201982132887,0.6168911047157939,0.0,16.75,0.3900000000000001,0.1799999999999997,0.71,0.4479488733416424,0.49281985954701013,3.5999999999702936e-05,15.707839999999994,0.3236000000000003,0.15074999999999988,0.5787799999999999
